GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
Shields River,276,0.999,0.999,5,0.999,0.625,100700
Shields River,275,0.666666667,0.5,1,0.5,0.6,100700
Yellowstone River,39,0.5,0.285714286,2,0.999,0.777777778,100700
Clarks Fork Yellowstone River,101,0.4,0.571428571,3,0.001,0.6,100700
Elbow Creek,362,0.999,0.999,0,0.999,0.001,100700
Clarks Fork Yellowstone River,100,0.166666667,0.142857143,5,0.666666667,0.916666667,100700
Fly Creek,365,0,0.999,0,0,0.001,100700
Yellowstone River,28,0.001,0.001,4,0,0.999,100700
Yellowstone River,40,0.25,0.25,3,0.001,0.857142857,100700
Yellowstone River,30,0.181818182,0.166666667,7,0.2,0.894736842,100700
Yellowstone River,38,0.001,0.001,4,0,0.999,100700
Pryor Creek,386,0.999,0.875,6,0.999,0.5,100700
East Fork Wind River,108,0.999,0.857142857,1,0.999,0.25,100800
Beaver Creek,337,0.833333333,0.857142857,1,0.75,0.25,100800
Red Canyon Creek,258,0.666666667,0.6,0,0.5,0.4,100800
Muddy Creek,377,0.4,0.4,2,0.333333333,0.714285714,100800
Badwater Creek,342,0.25,0.25,1,0.001,0.8,100800
Bridger Creek,351,0.2,0.2,0,0.25,0.8,100800
Bridger Creek,91,0.6,0.6,1,0.999,0.5,100800
Bighorn River,52,0.428571429,0.375,4,0.001,0.75,100800
Bighorn River,49,0.666666667,0.666666667,5,0,0.75,100800
,379,0.8,0.8,1,0.75,0.333333333,100800
Cottonwood Creek,352,0.714285714,0.625,1,0.8,0.444444444,100800
Kirby Creek,367,0.999,0.999,1,0.999,0.2,100800
Grass Creek,114,0.999,0.75,0,0.999,0.25,100800
Nowood River,223,0.8,0.8,6,0.8,0.636363636,100800
Nowood River,224,0.5,0.666666667,0,0.333333333,0.333333333,100800
Tensleep Creek,328,0.001,0.5,0,0.001,0.5,100800
,225,0.001,0.001,6,0.001,0.999,100800
Bighorn River,55,0.333333333,0.285714286,6,0.333333333,0.846153846,100800
Bighorn River,56,0.2,0.166666667,6,0.5,0.916666667,100800
Bighorn River,50,0.5,0.333333333,5,0,0.875,100800
Beaver Creek,43,0.75,0.75,2,0.999,0.5,100800
Bighorn River,51,0.4,0.4,2,0.001,0.714285714,100800
Dry Creek,359,0.5,0.5,1,0.999,0.6,100800
Sage Creek,390,0.285714286,0.285714286,0,0.4,0.714285714,100800
Polecat Creek,384,0.2,0.2,0,0.333333333,0.8,100800
,251,0.25,0.3,2,0.666666667,0.75,100800
,255,0.5,0.8,9,0.666666667,0.714285714,100800
Bighorn River,48,0.001,0.166666667,7,0.999,0.923076923,100800
Tongue River,12,0.375,0.416666667,4,0.25,0.6875,100901
Tongue River,9,0.166666667,0.285714286,7,0.2,0.857142857,100901
South Tongue River,282,0.5,0.8,1,0.5,0.333333333,100901
Goose Creek,361,0.5,0.555555556,3,0.999,0.583333333,100901
Prairie Dog Creek,271,0.571428571,0.666666667,4,0.5,0.538461538,100901
Tongue River,10,0.090909091,0.076923077,2,0.999,0.933333333,100901
Otter Creek,444,0.001,0.125,2,0.5,0.888888889,100901
Otter Creek,443,0.999,0.999,6,0.999,0.75,100901
Otter Creek,442,0.001,0.001,1,0.333333333,0.999,100901
Otter Creek,441,0.999,0.5,2,0.999,0.75,100901
Beaver Creek,338,0.5,0.5,2,0.75,0.75,100901
Pumpkin Creek,422,0.4,0.375,2,0.999,0.7,100901
Powder River,262,0.666666667,0.666666667,8,0.999,0.818181818,100902
Powder River,270,0.999,0.999,2,0,0.285714286,100902
,229,0.538461538,0.538461538,1,0.333333333,0.5,100902
,226,0.5,0.428571429,3,0.5,0.7,100902
Powder River,263,0.75,0.75,7,0.999,0.727272727,100902
Powder River,264,0.666666667,0.666666667,2,0.999,0.6,100902
Powder River,265,0.999,0.999,5,0.999,0.625,100902
,230,0.666666667,0.666666667,5,0.999,0.571428571,100902
South Fork Powder River,429,0.999,0.999,1,0,0.25,100902
Salt Creek,324,0.75,0.75,0,0.5,0.25,100902
Crazy Woman Creek,430,0.333333333,0.2,11,0.75,0.9375,100902
Crazy Woman Creek,92,0.333333333,0.2,5,0.5,0.9,100902
Clear Creek,104,0.333333333,0.375,2,0.001,0.7,100902
Clear Creek,102,0.166666667,0.166666667,2,0.001,0.875,100902
Clear Creek,103,0.5,0.5,6,0.5,0.714285714,100902
Powder River,266,0.7,0.727272727,1,0.999,0.333333333,100902
Powder River,267,0.999,0.999,4,0.999,0.571428571,100902
Powder River,268,0.666666667,0.666666667,7,0.999,0.8,100902
Powder River,269,0.333333333,0.333333333,6,0.001,0.888888889,100902
Bitter Creek,431,0.001,0.001,0,0.001,0.999,100902
Powder River,272,0.428571429,0.375,1,0.001,0.666666667,100902
Ranch Creek,434,0.001,0.001,1,0.001,0.999,100902
Little Powder River,167,0.875,0.909090909,5,0.75,0.375,100902
Little Powder River,164,0.571428571,0.571428571,4,0.333333333,0.636363636,100902
Little Powder River,165,0.857142857,0.777777778,6,0.999,0.533333333,100902
Little Powder River,166,0.714285714,0.555555556,4,0.999,0.615384615,100902
Crow Creek,93,0.285714286,0.333333333,2,0.333333333,0.727272727,100902
Sheep Creek,274,0.333333333,0.4,2,0.666666667,0.666666667,100902
Tenmile Creek,22,0.444444444,0.4,2,0.75,0.666666667,100902
Tenmile Creek,23,0.222222222,0.181818182,0,0.25,0.818181818,100902
