"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"23","pNat ~ temp * prosper","temp,prosper",2,"full_interactions",0.0929124352877688,364.301084341557,0.00766446296099431,13.8095279506973
"192","pNat ~ length + size + crop + pisc","length,size,crop,pisc",4,"additive",0.0929551097590726,370.062606534678,0.00770713743229814,19.5710501438182
"124","pNat ~ size + crop + pisc","size,crop,pisc",3,"additive",0.092980373830139,369.535183254648,0.00773240150336456,19.0436268637886
"236","pNat ~ barrier + size + prosper + crop + pisc","barrier,size,prosper,crop,pisc",5,"additive",0.0930356240779568,370.288253156092,0.00778765175118237,19.7966967652326
"148","pNat ~ temp + length + size + prosper","temp,length,size,prosper",4,"additive",0.0931237432118096,366.87299135481,0.00787577088503509,16.3814349639507
"93","pNat ~ barrier * length * crop","barrier,length,crop",3,"full_interactions",0.0931253416453809,371.356863127791,0.00787736931860643,20.8653067369315
"242","pNat ~ temp + barrier + length + size + prosper + pisc","temp,barrier,length,size,prosper,pisc",6,"additive",0.0932006311445023,369.108604260141,0.0079526588177278,18.617047869281
"152","pNat ~ temp + length + size + pisc","temp,length,size,pisc",4,"additive",0.0932037180658123,367.013420244278,0.00795574573903789,16.5218638534186
"196","pNat ~ size + prosper + crop + pisc","size,prosper,crop,pisc",4,"additive",0.093216684680644,369.541923502197,0.00796871235386952,19.0503671113372
"238","pNat ~ length + size + prosper + crop + pisc","length,size,prosper,crop,pisc",5,"additive",0.0932291667419489,370.248994927739,0.00798119441517446,19.757438536879
"195","pNat ~ length * prosper * crop * pisc","length,prosper,crop,pisc",4,"full_interactions",0.0932678142495754,379.75594996603,0.00801984192280092,29.2643935751708
"57","pNat ~ crop * pisc","crop,pisc",2,"full_interactions",0.0932918508151366,369.750952330819,0.00804387848836209,19.2593959399594
"156","pNat ~ temp + length + prosper + pisc","temp,length,prosper,pisc",4,"additive",0.0933051394949633,367.578143710326,0.0080571671681888,17.0865873194668
"59","pNat ~ temp * barrier * length","temp,barrier,length",3,"full_interactions",0.0933166491150268,369.284203270741,0.00806867678825235,18.7926468798817
"220","pNat ~ temp + length + size + prosper + pisc","temp,length,size,prosper,pisc",5,"additive",0.0937516615962625,369.277163810932,0.00850368926948802,18.7856074200721
"75","pNat ~ temp * length * pisc","temp,length,pisc",3,"full_interactions",0.0937520420634341,373.12852696145,0.00850406973665967,22.6369705705899
"69","pNat ~ temp * length * size","temp,length,size",3,"full_interactions",0.0938579295410506,372.681171157835,0.0086099572142761,22.1896147669754
"77","pNat ~ temp * size * prosper","temp,size,prosper",3,"full_interactions",0.0938833811202526,367.844229038841,0.0086354087934781,17.352672647981
"227","pNat ~ temp * size * prosper * crop * pisc","temp,size,prosper,crop,pisc",5,"full_interactions",0.0939830189095343,381.948011187983,0.00873504658275988,31.4564547971237
"223","pNat ~ temp * length * size * crop * pisc","temp,length,size,crop,pisc",5,"full_interactions",0.0940792344144813,388.423031822559,0.00883126208770686,37.9314754316991
"215","pNat ~ temp * barrier * size * crop * pisc","temp,barrier,size,crop,pisc",5,"full_interactions",0.0940998243924111,383.599028968468,0.00885185206563664,33.1074725776083
"157","pNat ~ temp * length * prosper * pisc","temp,length,prosper,pisc",4,"full_interactions",0.0941968184394196,379.535022072543,0.00894884611264511,29.0434656816837
"85","pNat ~ temp * prosper * pisc","temp,prosper,pisc",3,"full_interactions",0.0942211794262934,372.255616696404,0.00897320709951892,21.7640603055446
"225","pNat ~ temp * length * prosper * crop * pisc","temp,length,prosper,crop,pisc",5,"full_interactions",0.094229174251266,384.836088147194,0.00898120192449152,34.3445317563343
"185","pNat ~ barrier * size * crop * pisc","barrier,size,crop,pisc",4,"full_interactions",0.0942651780787326,382.148445750687,0.00901720575195815,31.6568893598277
"219","pNat ~ temp * length * size * prosper * crop","temp,length,size,prosper,crop",5,"full_interactions",0.0943407331665954,380.859219537047,0.00909276083982093,30.367663146187
"16","pNat ~ temp + barrier","temp,barrier",2,"additive",0.0945587091267322,369.920529704092,0.00931073679995777,19.4289733132322
"127","pNat ~ prosper * crop * pisc","prosper,crop,pisc",3,"full_interactions",0.0946040141175422,373.987481623332,0.00935604179076778,23.495925232472
"115","pNat ~ length * prosper * crop","length,prosper,crop",3,"full_interactions",0.094612313632502,371.90818590092,0.00936434130572759,21.41662951006
"2","pNat ~ temp","temp",1,"additive",0.0946427688506853,369.194890766412,0.00939479652391081,18.7033343755528
"3","pNat ~ temp","temp",1,"full_interactions",0.0946427688506853,369.194890766412,0.00939479652391081,18.7033343755528
