"pointid","xcoord","ycoord"
728,-729823.627,2192932.7415
729,-730068.620600001,2192855.74699999
730,-730369.624099999,2192694.75360001
731,-729809.621300002,2193562.7419
732,-731727.633,2195410.7436
733,-731895.624800001,2194794.74489999
734,-731111.620599999,2193786.75490001
735,-729109.624299999,2198560.7544
736,-730131.6313,2196432.7438
737,-730042.013299999,2198711.92760001
738,-730303.187100001,2198684.99489999
739,-745335.621200001,2219924.7465
740,-744810.6252,2219259.74139999
741,-747659.6274,2219350.7545
742,-748121.6274,2219252.7415
743,-748065.621900001,2219364.74429999
744,-748156.6272,2219203.7413
745,-750851.6246,2219462.74610001
746,-750907.6273,2219112.7534
