"pointid","xcoord","ycoord"
466,-1114288.0921,2272828.4176
467,-1114410.3437,2272918.36109999
468,-1113807.0506,2273120.5579
469,-1113895.3246,2273339.90159999
470,-1114017.3922,2273378.1494
471,-1114057.9029,2273680.989
472,-1113374.8807,2275054.40759999
473,-1113514.3202,2275510.3355
474,-1113615.0355,2275519.6818
475,-1113669.4858,2275708.314
476,-1114139.5382,2275863.8808
477,-1114296.2717,2276493.3367
478,-1117411.8762,2278514.57520001
479,-1117351.4648,2278456.60280001
480,-1117528.9566,2279141.4922
481,-1117798.1815,2279289.6131
482,-1117883.1545,2279302.1205
483,-1118551.2558,2279793.1317
484,-1120185.9104,2281314.991
485,-1120515.9466,2281518.5477
486,-1121546.8964,2283031.615
487,-1121584.0872,2283212.7356
488,-1121630.0373,2283420.99669999
489,-1121634.5914,2283806.5664
490,-1122173.5523,2284585.902
491,-1122211.535,2284692.2341
492,-1122225.7552,2284890.63880001
493,-1121980.8222,2285601.15470001
494,-1121866.0669,2287405.374
495,-1121672.7354,2287469.93039999
496,-1122192.1608,2291715.3057
497,-1122249.0645,2291449.8861
498,-1121717.5837,2291903.7886
499,-1121006.6657,2292240.8881
500,-1123118.732,2287550.8732
501,-1124512.371,2289411.5661
502,-1124300.0773,2288979.9771
503,-1124682.0208,2289612.1595
504,-1124752.8502,2289911.8682
505,-1124808.9202,2289982.10459999
506,-1125998.535,2300299.6909
507,-1126032.906,2299718.48810001
508,-1125930.2526,2300555.6647
509,-1100855.9228,2274285.25879999
510,-1101059.7318,2273669.09679999
511,-1101199.6903,2277170.3159
512,-1101396.4453,2278546.6769
513,-1101278.816,2279117.7569
514,-1101369.2246,2280148.8682
515,-1101274.5111,2279143.6285
516,-1099816.0099,2281750.1125
517,-1098773.9659,2282144.4139
518,-1126433.8665,2290148.6861
519,-1125311.6612,2289862.3064
520,-1124820.5608,2289694.52270001
521,-1118512.0534,2267177.83899999
522,-1118510.527,2267177.6161
523,-1120177.9969,2267311.4908
524,-1120449.8761,2267057.4972
525,-1125354.1753,2263327.1698
526,-1125356.8661,2262164.49470001
527,-1117804.5512,2267673.10559999
528,-1118100.478,2267830.35839999
